code_fase,name
9999,Etablissement d'enseignement supérieur hors communauté française
65017,Haute Ecole Charlemagne
25001,Haute Ecole de Bruxelles
95027,Haute Ecole de la Communauté française de Namur Albert Jacquard
85025,Haute Ecole de la Communauté française du Luxembourg Schuman
55010,Haute Ecole de la Communauté française en Hainaut
25002,Haute Ecole de la Communauté française Paul-Henri Spaak
5759,Haute Ecole de la Province de Liège
94030,Haute Ecole de la Province de Namur
61021,Haute Ecole de la Ville de Liège
22005,Haute Ecole EPHEC
21008,Haute Ecole Francisco Ferrer de la Ville de Bruxelles
22003,Haute Ecole Galilée
22006,Haute Ecole Groupe ICHEC - ISC Saint-Louis - ISFSC
22004,Haute Ecole Léonard de Vinci
23007,Haute Ecole libre de Bruxelles Ilya Prigogine
5964,Haute Ecole libre Mosane - HELMo
95080,Haute Ecole Louvain en Hainaut - HELHa
21409,Haute Ecole Lucia de Brouckère
95274,Haute Ecole Namur-Liège-Luxembourg
95064,Haute Ecole provinciale de Hainaut - Condorcet
1716,Académie des Beaux-Arts de la Ville de Tournai
5409,Académie royale des Beaux-Arts de la Ville de Bruxelles
95309,Arts²
182,Conservatoire royal de Bruxelles
2066,Conservatoire royal de Liège
181,École nationale supérieure des Arts Visuels de La Cambre
518,"École supérieure communale des Arts de l'image ""le 75"""
2064,École supérieure des Arts de la Ville de Liège
5384,École supérieure des Arts du Cirque - ESAC
1694,École supérieure des Arts Institut Saint-Luc à Tournai
381,École supérieure des Arts Saint-Luc de Bruxelles
2016,École supérieure des Arts Saint-Luc de Liège
9381,ERG - École supérieure des Arts (École de recherche graphique)
753,Institut des Arts de Diffusion - IAD
171,Institut national supérieur des Arts du Spectacle - INSAS
3017,Institut supérieur de Musique et de Pédagogie - IMEP
5220,Facultés Universitaires Saint-Louis
5223,Université Libre de Bruxelles
5224,Université Catholique de Louvain
5225,Université de Liège
5226,Facultés Universitaires Notre-Dame de la Paix
5227,Facultés Universitaires des Sciences Agronomiques de Gembloux
5231,Université de Mons
G9,Autonome Hochschule in der Deutschsprachigen Gemeinschaft
G10,Pater Damian Hohe Schule
505,"Institut supérieur d'architecture de la Communauté française - ""La Cambre"""
297,Intercommunale d'enseignement supérieur d'architecture - Site de Mons
298,Intercommunale d'enseignement supérieur d'architecture - Site de Liège
709,Institut supérieur d'architecture Saint-Luc 
4024,Institut supérieur d'architecture Saint-Luc de Wallonie - Site de Tournai
6397,Intercommunale d'enseignement supérieur d'architecture - Site de Bruxelles
7297,Institut supérieur d'architecture Saint-Luc de Wallonie - Site de Liège
29,INSTITUT DES SOEURS DE NOTRE-DAME                                                                                                                                                                                                                         
30,INSTITUT NOTRE-DAME                                                                                                                                                                                                                                       
31,ECOLE SECONDAIRE BRACOPS-LAMBERT - 1 ER DEGRE AUTONOME                                                                                                                                                                                                    
32,ATHENEE MAIMONIDE
33,ATHENEE ROYAL LEONARDO DA VINCI                                                                                                                                                                                                                           
35,INSTITUT COMMUNAL MARIUS RENARD                                                                                                                                                                                                                           
37,INSTITUT MARIE IMMACULEE - MONTJOIE (I.M.M.I.)                                                                                                                                                                                                            
38,INSTITUT REDOUTE-PEIFFER                                                                                                                                                                                                                                  
40,INSTITUT DE LA PROVIDENCE                                                                                                                                                                                                                                 
60,ATHENEE ROYAL D'AUDERGHEM                                                                                                                                                                                                                                 
61,INSTITUT SAINT-JULIEN-PARNASSE                                                                                                                                                                                                                            
123,ATHENEE ADOLPHE MAX                                                                                                                                                                                                                                       
124,ATHENEE ROYAL DE LA RIVE GAUCHE                                                                                                                                                                                                                           
126,ATHENEE ROBERT CATTEAU
127,ATHENEE LEON LEPAGE
128,LYCEE EMILE JACQMAIN
129,ATHENEE EMILE BOCKSTAEL
130,LYCEE HENRIETTE DACHSBECK
132,INSTITUT SAINT-LOUIS                                                                                                                                                                                                                                      
133,LYCEE MARIA ASSUMPTA                                                                                                                                                                                                                                      
134,ATHENEE DES PAGODES
138,COLLEGE LA FRATERNITE
139,ATHENEE ROYAL GATTI DE GAMOND                                                                                                                                                                                                                             
140,ATHENEE ROYAL DE BRUXELLES II                                                                                                                                                                                                                             
141,LYCEE LA RETRAITE                                                                                                                                                                                                                                         
142,INSTITUT DIDEROT                                                                                                                                                                                                                                          
143,INSTITUT PAUL-HENRI SPAAK                                                                                                                                                                                                                                 
144,INSTITUT MARIS STELLA                                                                                                                                                                                                                                     
145,INSTITUT BISCHOFFSHEIM                                                                                                                                                                                                                                    
152,INSTITUT DES ARTS ET METIERS                                                                                                                                                                                                                              
179,ACADEMIE ROYALE DES BEAUX-ARTS DE BRUXELLES                                                                                                                                                                                                               
185,INSTITUT NOTRE-DAME DE LOURDES                                                                                                                                                                                                                            
208,CENTRE SCOLAIRE SAINT-MICHEL                                                                                                                                                                                                                              
209,INSTITUT SAINT-JOSEPH D'ENSEIGNEMENT TECHNIQUE                                                                                                                                                                                                            
210,CENTRE D'ENSEIGNEMENT SECONDAIRE D'ETTERBEEK ERNEST RICHARD                                                                                                                                                                                               
211,INSTITUT REINE FABIOLA ENS. PROFESSIONNEL                                                                                                                                                                                                                 
212,ATHENEE ROYAL JEAN ABSIL                                                                                                                                                                                                                                  
213,INSTITUT DE L'ENFANT-JESUS                                                                                                                                                                                                                                
214,INSTITUT SAINT-STANISLAS                                                                                                                                                                                                                                  
222,COLLEGE ROI BAUDOUIN                                                                                                                                                                                                                                      
231,ATHENEE ROYAL D'EVERE                                                                                                                                                                                                                                     
246,ATHENEE ROYAL ANDREE THOMAS                                                                                                                                                                                                                               
249,INSTITUT SAINTE-URSULE                                                                                                                                                                                                                                    
261,COLLEGE DU SACRE-COEUR                                                                                                                                                                                                                                    
262,CENTRE SCOLAIRE NOTRE-DAME DE LA SAGESSE                                                                                                                                                                                                                  
263,ATHENEE ROYAL DE GANSHOREN                                                                                                                                                                                                                                
282,INSTITUT SAINT-BONIFACE- PARNASSE                                                                                                                                                                                                                         
283,"CENTRE SCOLAIRE ""MA CAMPAGNE""                                                                                                                                                                                                                             "
286,CENTRE SCOLAIRE SAINT-VINCENT DE PAUL - ENFANT-JESUS
287,INSTITUT SAINT-ANDRE                                                                                                                                                                                                                                      
288,CENTRE SCOLAIRE EPERONNIERS-MERCELIS                                                                                                                                                                                                                      
289,INSTITUT TECHNIQUE RENE CARTIGNY                                                                                                                                                                                                                          
290,ATHENEE COMMUNAL CHARLES JANSSENS                                                                                                                                                                                                                         
291,CENTRE SCOLAIRE SAINT-ADRIEN - VAL DUCHESSE                                                                                                                                                                                                               
317,ATHENEE ROYAL DE JETTE                                                                                                                                                                                                                                    
318,CENTRE SCOLAIRE DU SACRE-COEUR - Section Humanités                                                                                                                                                                                                        
319,COLLEGE SAINT-PIERRE                                                                                                                                                                                                                                      
326,ATHENEE ROYAL DE KOEKELBERG                                                                                                                                                                                                                               
